"boot_iter","target_corr_kendall","dataset","inv_cdf_type","copula_type","tv_val_1","tv_val_2","ks_stat_1","ks_stat_2","cvm_stat_1","cvm_stat_2","smoothness_1","smoothness_2"
5,-1,"mtcars_df","quantile_8","t",0.28125,0.1875,0.28125,0.1875,0.891276041666667,0.213541666666667,0.0336022120668045,0.342906922657556
6,-1,"mtcars_df","quantile_8","t",0.125,0.1875,0.125,0.1875,0.127604166666667,0.287760416666667,0.035467722400382,0.472970545052934
7,-1,"mtcars_df","quantile_8","t",0.09375,0.15625,0.09375,0.15625,0.0826822916666667,0.174479166666667,0.0450803077423501,0.496432862138882
8,-1,"mtcars_df","quantile_8","t",0.125,0.125,0.125,0.125,0.160807291666667,0.151041666666667,0.0354628914186315,0.537410133699801
9,-1,"mtcars_df","quantile_8","t",0.09375,0.15625,0.09375,0.15625,0.0651041666666667,0.211588541666667,0.0257273010446291,0.42171941694725
10,-1,"mtcars_df","quantile_8","t",0.15625,0.25,0.15625,0.25,0.291666666666667,0.688151041666667,0.0310020228764076,0.48538437851386
1,-1,"swiss_df","quantile_8","t",0.212765957446809,0.148936170212766,0.212765957446809,0.148936170212766,0.584729138373321,0.180926512750868,0.142232600389943,0.122407346864638
2,-1,"swiss_df","quantile_8","t",0.148936170212766,0.148936170212766,0.148936170212766,0.148936170212766,0.238871284140637,0.182737286856798,0.103128780791184,0.148480605374343
3,-1,"swiss_df","quantile_8","t",0.212765957446809,0.234042553191489,0.212765957446809,0.234042553191489,0.572053719631809,0.694280971782104,0.112388231279043,0.14937099304292
4,-1,"swiss_df","quantile_8","t",0.234042553191489,0.148936170212766,0.234042553191489,0.148936170212766,0.572959106684774,0.141994869473366,0.100536339278945,0.106481262941887
5,-1,"swiss_df","quantile_8","t",0.25531914893617,0.234042553191489,0.25531914893617,0.234042553191489,0.746793420854082,0.692470197676174,0.0999360331865305,0.135552432903421
6,-1,"swiss_df","quantile_8","t",0.0851063829787234,0.148936170212766,0.0851063829787234,0.148936170212766,0.0668477440772596,0.221668930134299,0.10014458227052,0.11850945492677
7,-1,"swiss_df","quantile_8","t",0.191489361702128,0.234042553191489,0.191489361702128,0.234042553191489,0.496906594235702,0.718726422212163,0.104613704740436,0.116109793185652
8,-1,"swiss_df","quantile_8","t",0.212765957446809,0.170212765957447,0.212765957446809,0.170212765957447,0.603742266485589,0.240682058246567,0.147772968473192,0.104077777681332
9,-1,"swiss_df","quantile_8","t",0.127659574468085,0.191489361702128,0.127659574468085,0.191489361702128,0.13022483778482,0.32216689301343,0.140679286359054,0.110979161496986
10,-1,"swiss_df","quantile_8","t",0.191489361702128,0.148936170212766,0.191489361702128,0.148936170212766,0.301342990795232,0.151954127055983,0.0856694090099371,0.140961813038399
1,-1,"rock_df","quantile_8","t",0.125,0.125,0.125,0.125,0.143229166666667,0.141493055555556,21.3966010225196,6.94100795564913
2,-1,"rock_df","quantile_8","t",0.125,0.145833333333333,0.125,0.145833333333333,0.152777777777778,0.168402777777778,19.7903835074561,6.66878758579187
3,-1,"rock_df","quantile_8","t",0.166666666666667,0.0833333333333333,0.166666666666667,0.0833333333333333,0.525173611111111,0.0460069444444444,16.4038081507398,7.91178339587048
4,-1,"rock_df","quantile_8","t",0.104166666666667,0.270833333333333,0.104166666666667,0.270833333333333,0.110243055555556,0.876736111111111,16.3873391091036,9.0961981867082
5,-1,"rock_df","quantile_8","t",0.208333333333333,0.166666666666667,0.208333333333333,0.166666666666667,0.578993055555556,0.220486111111111,19.5510502334965,6.00587340813589
6,-1,"rock_df","quantile_8","t",0.125,0.229166666666667,0.125,0.229166666666667,0.146701388888889,0.664930555555555,18.1994718395331,6.81262063121296
7,-1,"rock_df","quantile_8","t",0.125,0.125,0.125,0.125,0.211805555555556,0.135416666666667,16.3774001084,6.27231883370202
8,-1,"rock_df","quantile_8","t",0.125,0.208333333333333,0.125,0.208333333333333,0.177951388888889,0.417534722222222,21.0241673968314,6.24421299828551
9,-1,"rock_df","quantile_8","t",0.208333333333333,0.1875,0.208333333333333,0.1875,0.614583333333333,0.430555555555555,16.4815390848821,5.93630910460016
10,-1,"rock_df","quantile_8","t",0.145833333333333,0.0833333333333334,0.145833333333333,0.0833333333333333,0.167534722222222,0.0581597222222222,17.3279282402549,6.81749973077678
1,-1,"USArrests_df","quantile_8","t",0.26,0.14,0.26,0.14,0.655466666666667,0.236266666666667,0.0199834701797506,0.518562948190684
