"","n","target_corr_kendall","distribution_1","distribution_2","inv_cdf_type","copula_type","tv_val_1","tv_val_2","ks_stat_1","ks_stat_2","cvm_stat_1","cvm_stat_2","smoothness_1","smoothness_2"
"D...105",100,-1,"exponential","normal","poly","gaussian",0.17785,0.20551,0.176469999999931,0.204420000000221,1.01797719013333,1.22740409233333,0.0145225981668622,0.00523216976270463
"D...106",100,-1,"exponential","normal","poly","t",0.15505,0.17399,0.15429000000006,0.172750000000067,0.537799125033333,0.632495093733334,0.00715819066158858,0.00345613267158981
"D...107",100,-1,"exponential","normal","akima","gaussian",0.14537,0.0892499999999999,0.144410000000023,0.0951399999999783,0.654247497733333,0.161139286933333,0.00849243661925696,0.02407861191219
"D...108",100,-1,"exponential","normal","akima","t",0.13773,0.12285,0.138689999999983,0.124169999999965,0.461703393833333,0.229250591633333,0.0128212328215988,0.00791369624610717
"D...109",100,-1,"exponential","exponential","quantile_1","gaussian",0.14124,0.10961,0.142379999999983,0.108890000000091,0.409941416633333,0.328160429633333,0.0681654617700464,0.0315670170483243
"D...110",100,-1,"exponential","exponential","quantile_1","t",0.08497,0.06694,0.0836999999999825,0.0662200000000174,0.0839294749333333,0.0859032598333333,0.0482220324541134,0.0506428479927859
"D...111",100,-1,"exponential","exponential","quantile_4","gaussian",0.11363,0.13457,0.113700000000015,0.132879999999999,0.268068650033333,0.220760822933333,0.0346202754290384,0.00489202782172199
"D...112",100,-1,"exponential","exponential","quantile_4","t",0.09935,0.10898,0.0977099999999708,0.110800000000049,0.267469326633333,0.267621395633333,0.00748911315588604,0.00760413267576511
"D...113",100,-1,"exponential","exponential","quantile_7","gaussian",0.10375,0.14574,0.102870000000005,0.146359999999988,0.250273665533333,0.356923779033333,0.0128468271610907,0.00714060828044084
"D...114",100,-1,"exponential","exponential","quantile_7","t",0.10442,0.0999399999999999,0.105319999999972,0.0989900000000032,0.214483456033333,0.277510922833333,0.0123747875453211,0.0142778670255468
"D...115",100,-1,"exponential","exponential","quantile_8","gaussian",0.12635,0.09289,0.127789999999994,0.0939499999999993,0.175619725433333,0.105466895833333,0.0335917318069967,0.0179234813048618
"D...116",100,-1,"exponential","exponential","quantile_8","t",0.08321,0.14462,0.0852399999999994,0.142750000000002,0.122672180433333,0.412508026833333,0.012469600335263,0.0125589756794526
"D...117",100,-1,"exponential","exponential","poly","gaussian",0.06319,0.10248,0.0612999999999719,0.103489999999948,0.0698784437333333,0.181905248033333,0.00634357043746416,0.0247769226430445
"D...118",100,-1,"exponential","exponential","poly","t",0.1109,0.08412,0.111379999999979,0.0854699999999814,0.110354031833333,0.171050001033333,0.0130783021861294,0.00767840984647697
"D...119",100,-1,"exponential","exponential","akima","gaussian",0.1247,0.09895,0.125859999999961,0.100000000000021,0.447171266033333,0.232251151833333,0.0142264417125698,0.0205528149827834
"D...120",100,-1,"exponential","exponential","akima","t",0.13464,0.1278,0.136199999999978,0.122139999999993,0.281278526233333,0.258165508533333,0.00730356167318454,0.021858225791369
"D...121",100,-1,"exponential","uniform","quantile_1","gaussian",0.13232,0.14097,0.12837000000002,0.143619999999983,0.311540330033333,0.221820844033333,0.0298800591159031,0.00429379646712512
"D...122",100,-1,"exponential","uniform","quantile_1","t",0.05884,0.11799,0.0615900000000256,0.11831999999999,0.0553083623333333,0.314989064533333,0.129178551025032,0.00420498795510595
"D...123",100,-1,"exponential","uniform","quantile_4","gaussian",0.11535,0.13371,0.113499999999995,0.135510000000002,0.325910077733333,0.394976116333333,0.0168369205605029,0.00103255908924482
"D...124",100,-1,"exponential","uniform","quantile_4","t",0.19745,0.10488,0.196029999999824,0.102840000000002,1.24315468483333,0.200888973633333,0.00499460745488124,0.000971244291364139
"D...125",100,-1,"exponential","uniform","quantile_7","gaussian",0.10061,0.1327,0.103559999999996,0.134800000000026,0.135641280833333,0.288299411633333,0.00751189255991024,0.00112171604895633
"D...126",100,-1,"exponential","uniform","quantile_7","t",0.05924,0.07875,0.0604000000000171,0.0763500000000422,0.0674536581333333,0.131877565533333,0.0164552807275913,0.00089312109177282
"D...127",100,-1,"exponential","uniform","quantile_8","gaussian",0.14828,0.11724,0.152550000000059,0.116900000000035,0.680325341933334,0.351575026233333,0.0111821712802181,0.000885708370897443
"D...128",100,-1,"exponential","uniform","quantile_8","t",0.10142,0.09534,0.102549999999987,0.0963300000000535,0.137765137233333,0.142356616833333,0.0162522345940518,0.00103517598402173
"D...129",100,-1,"exponential","uniform","poly","gaussian",0.0698,0.09966,0.0709200000000568,0.102879999999976,0.0888195053333333,0.260910643333333,0.0116626546652431,0.00041400020444032
"D...130",100,-1,"exponential","uniform","poly","t",0.13072,0.11044,0.131220000000031,0.113669999999905,0.383540007033333,0.402926977933333,0.011542525216573,0.000198392996216285
"D...131",100,-1,"exponential","uniform","akima","gaussian",0.06524,0.17053,0.0676999999999764,0.171120000000015,0.0895747037333334,0.967573538033333,0.026100399821873,0.00111638207959604
"D...132",100,-1,"exponential","uniform","akima","t",0.0683,0.12621,0.0712499999999887,0.127120000000081,0.0817123820333333,0.381132051733333,0.0150497220235557,0.000890809570002047
"D...133",100,-1,"exponential","log_normal","quantile_1","gaussian",0.07784,0.10312,0.0784799999999748,0.100719999999989,0.0845335727333333,0.147831214033333,0.0314033176749205,0.110477687615634
"D...134",100,-1,"exponential","log_normal","quantile_1","t",0.09098,0.10641,0.0890500000000193,0.107099999999959,0.152421860233333,0.191805198533333,0.031148915539473,0.113461315625862
"D...135",100,-1,"exponential","log_normal","quantile_4","gaussian",0.13678,0.11033,0.135260000000022,0.113049999999965,0.305697354733333,0.174680181033333,0.0157209496875649,0.0239742269951577
