"","target_corr_kendall","dataset","inv_cdf_type","s1","s2","tv1","tv2"
"1212",0.7,"mtcars_df","quantile_7",0.0297823204820258,0.357830929262639,0.125,0.15625
"1213",0.7,"swiss_df","quantile_7",0.0860499778417294,0.126204670552391,0.148936170212766,0.148936170212766
"1214",0.7,"rock_df","quantile_7",15.8619608233295,8.59898481320676,0.145833333333333,0.208333333333333
"1215",0.7,"USArrests_df","quantile_7",0.020281232649219,0.43214480113086,0.26,0.2
"1216",0.7,"iris_df","quantile_7",0.00764195958536063,0.00566731978326374,0.0733333333333334,0.133333333333333
"1217",0.7,"airquality_df","quantile_7",0.509536361408219,0.0388843329435019,0.0900900900900901,0.117117117117117
"1218",0.7,"faithful_df","quantile_7",0.0108170702093792,0.120643618918859,0.0514705882352942,0.0882352941176471
"1219",0.7,"ChickWeight_df","quantile_7",0.852857990305242,0.1372626825051,0.0449826989619377,0.027681660899654
"1220",0.7,"diamonds_df","quantile_7",0.0358706165992246,32.0168453567276,0.0122,0.0164
"1221",0.7,"trees_df","quantile_8",0.0171015327176051,0.0337620666548508,0.129032258064516,0.258064516129032
"1222",0.7,"mtcars_df","quantile_8",0.0457558429099338,0.562894720987589,0.1875,0.1875
"1223",0.7,"swiss_df","quantile_8",0.102682733155254,0.111899468390769,0.127659574468085,0.234042553191489
"1224",0.7,"rock_df","quantile_8",18.4986621726588,7.30820510924675,0.1875,0.145833333333333
"1225",0.7,"USArrests_df","quantile_8",0.0198617679890397,0.501696464273601,0.18,0.14
"1226",0.7,"iris_df","quantile_8",0.00684792488698408,0.00610507085664369,0.08,0.0399999999999999
"1227",0.7,"airquality_df","quantile_8",0.408945453465885,0.0381852357031139,0.0810810810810811,0.108108108108108
"1228",0.7,"faithful_df","quantile_8",0.00757872361432503,0.116355117104944,0.0625,0.0367647058823529
"1229",0.7,"ChickWeight_df","quantile_8",1.12906755238311,0.137848628752784,0.0813148788927336,0.0501730103806228
"1230",0.7,"diamonds_df","quantile_8",0.0468954790659956,31.8003745724108,0.00900000000000001,0.0162
"1231",0.7,"trees_df","linear",0.0130013037246468,0.0298515637160736,0.129032258064516,0.225806451612903
"1232",0.7,"mtcars_df","linear",0.0137051947053481,0.542449250718317,0.21875,0.28125
"1233",0.7,"swiss_df","linear",0.139093476271755,0.0928449654295463,0.127659574468085,0.127659574468085
"1234",0.7,"rock_df","linear",14.2117986983814,5.04267375908651,0.125,0.145833333333333
"1235",0.7,"USArrests_df","linear",0.0200842905286572,0.277338603288155,0.22,0.2
"1236",0.7,"iris_df","linear",0.00339372323977742,0.00393871683436151,0.146666666666667,0.18
"1237",0.7,"airquality_df","linear",0.216948047312687,0.0267067398871694,0.0720720720720721,0.135135135135135
"1238",0.7,"faithful_df","linear",0.00635995962967316,0.0643634155145001,0.0698529411764706,0.0955882352941176
"1239",0.7,"ChickWeight_df","linear",0.845825018511303,0.00802120812019885,0.0640138408304499,0.112456747404844
"1240",0.7,"diamonds_df","linear",0.027717234689134,33.2620257027551,0.0618,0.0134
"1241",0.7,"trees_df","poly",0.0608273502741911,0.0251593788825825,0.451612903225806,0.258064516129032
"1242",0.7,"mtcars_df","poly",0.0651896638393125,0.795735563155888,0.15625,0.1875
"1243",0.7,"swiss_df","poly",0.267701189377293,0.12304346722496,0.170212765957447,0.106382978723404
"1244",0.7,"rock_df","poly",46.7060452610735,9.73852007865941,0.145833333333333,0.145833333333333
"1245",0.7,"USArrests_df","poly",0.0108804310620317,0.282494701740396,0.16,0.14
"1246",0.7,"iris_df","poly",0.00295916267208233,0.00216230329487767,0.1,0.1
